linha,codigo_linha,circular,sentido,letreiro_ida,letreiro_volta,id_veiculo,acessivel,latitude,longitude,data_hora
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11513,true,-23.4742495,-46.669781,2019-04-22T00:03:23.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11512,true,-23.536863500000003,-46.642052125,2019-04-22T00:03:33.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11510,true,-23.476066,-46.671893,2019-04-22T00:03:48.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11514,true,-23.525711125,-46.6490945,2019-04-22T00:03:44.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11511,true,-23.476300000000002,-46.670337,2019-04-22T00:03:22.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11513,true,-23.4742495,-46.669781,2019-04-22T00:07:53.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11512,true,-23.523695250000003,-46.650089,2019-04-22T00:07:17.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11510,true,-23.4742495,-46.669781,2019-04-22T00:07:33.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11514,true,-23.535916937499998,-46.642886312499996,2019-04-22T00:07:29.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11511,true,-23.48583475,-46.675001375,2019-04-22T00:07:52.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11513,true,-23.4742495,-46.669781,2019-04-22T00:11:40.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11512,true,-23.5219538125,-46.663431812499994,2019-04-22T00:11:47.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11510,true,-23.474486,-46.66942825,2019-04-22T00:11:18.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11514,true,-23.542998750000002,-46.6372175,2019-04-22T00:12:02.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11511,true,-23.497479499999997,-46.676207500000004,2019-04-22T00:11:37.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11513,true,-23.4742495,-46.669781,2019-04-22T00:15:25.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11512,true,-23.509753500000002,-46.6658945,2019-04-22T00:15:47.000Z
9500,33229,false,2,TERM. CACHOEIRINHA,PÇA. DO CORREIO,11510,true,-23.4742495,-46.669781,2019-04-22T00:15:49.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11514,true,-23.542929,-46.636521,2019-04-22T00:15:45.000Z
9500,461,false,1,PÇA. DO CORREIO,TERM. CACHOEIRINHA,11511,true,-23.50468325,-46.67281975,2019-04-22T00:15:23.000Z
